n,interpreter,optLnot,optIndexing,optAssi,translateMS,loadMS,analyzeMS
3,SWIProlog,false,false,false,2.903449,4.566038,0.108253
3,SWIProlog,true,true,true,4.813927,5.536087,0.09661700000000001
3,SWIProlog,false,false,false,2.862545,5.070984999999999,0.12235800000000001
3,SWIProlog,true,true,true,3.867856,5.366126,0.062061
3,SWIProlog,false,false,false,2.8057730000000003,3.956011,0.07616500000000001
3,SWIProlog,true,true,true,3.123129,5.138687,0.06417700000000001
3,SWIProlog,false,false,false,3.023691,3.823426,0.076518
3,SWIProlog,true,true,true,3.106203,5.524098,0.062766
3,SWIProlog,false,false,false,3.0628319999999998,3.53146,0.08004399999999999
3,SWIProlog,true,true,true,2.94541,5.478962999999999,0.09450199999999999
4,SWIProlog,false,false,false,3.063536,4.178512,0.069113
4,SWIProlog,true,true,true,3.2712280000000002,6.786115,0.11636400000000001
4,SWIProlog,false,false,false,2.9863139999999997,3.770534,0.087802
4,SWIProlog,true,true,true,3.943669,7.233938,0.078633
4,SWIProlog,false,false,false,3.0088809999999997,3.863625,0.06876
4,SWIProlog,true,true,true,3.843878,6.029045,0.073697
4,SWIProlog,false,false,false,2.6428649999999996,3.580826,0.062412999999999996
4,SWIProlog,true,true,true,5.212032,5.947591999999999,0.07933799999999999
4,SWIProlog,false,false,false,2.5515369999999997,3.7613649999999996,0.08039700000000001
4,SWIProlog,true,true,true,4.384792,11.427612,0.122006
5,SWIProlog,false,false,false,4.122093,4.5043299999999995,0.186887
5,SWIProlog,true,true,true,4.319558,7.982192,0.163261
5,SWIProlog,false,false,false,3.117134,4.008902,0.076166
5,SWIProlog,true,true,true,4.295227,6.634842,0.074402
5,SWIProlog,false,false,false,2.75006,4.265608,0.118832
5,SWIProlog,true,true,true,4.259614,6.971591,0.069465
5,SWIProlog,false,false,false,3.477509,5.177828000000001,0.084628
5,SWIProlog,true,true,true,3.094567,6.360506,0.056066000000000005
5,SWIProlog,false,false,false,4.0177179999999995,4.690512,0.087449
5,SWIProlog,true,true,true,3.216572,7.604890999999999,0.083923
6,SWIProlog,false,false,false,3.069178,4.578732,0.102259
6,SWIProlog,true,true,true,4.116099,7.914489,0.091681
6,SWIProlog,false,false,false,2.844561,4.563217,0.108253
6,SWIProlog,true,true,true,3.905233,9.33483,0.07510800000000001
6,SWIProlog,false,false,false,3.2818069999999997,5.203216,0.128
6,SWIProlog,true,true,true,3.4944349999999997,8.163084,0.114601
6,SWIProlog,false,false,false,2.90909,4.7293,0.08533299999999999
6,SWIProlog,true,true,true,3.454589,9.011833000000001,0.098027
6,SWIProlog,false,false,false,2.903801,4.802997,0.087096
6,SWIProlog,true,true,true,3.74444,8.095734,0.079692
7,SWIProlog,false,false,false,2.7348980000000003,5.637289,0.25776299999999996
7,SWIProlog,true,true,true,3.4602310000000003,8.479734,0.131879
7,SWIProlog,false,false,false,3.0046500000000003,4.9295860000000005,0.104022
7,SWIProlog,true,true,true,3.350214,8.520285,0.130821
7,SWIProlog,false,false,false,2.644627,4.942632,0.10684300000000001
7,SWIProlog,true,true,true,3.793806,8.409563,0.078986
7,SWIProlog,false,false,false,2.534259,5.930665,0.11565900000000001
7,SWIProlog,true,true,true,3.219393,7.558345999999999,0.11601099999999999
7,SWIProlog,false,false,false,4.091768,5.405970999999999,0.107196
7,SWIProlog,true,true,true,3.444716,8.849629,0.10543300000000001
8,SWIProlog,false,false,false,2.642159,5.073805999999999,0.12482599999999999
8,SWIProlog,true,true,true,4.076252,8.884538000000001,0.07933899999999999
8,SWIProlog,false,false,false,2.879823,6.378488999999999,0.238369
8,SWIProlog,true,true,true,3.583294,8.556957,0.071581
8,SWIProlog,false,false,false,2.864308,5.774809,0.141399
8,SWIProlog,true,true,true,3.5388640000000002,9.556979,0.174898
8,SWIProlog,false,false,false,2.490182,5.328396,0.133289
8,SWIProlog,true,true,true,3.958478,7.980781,0.056419
8,SWIProlog,false,false,false,2.916495,5.880594,0.139989
8,SWIProlog,true,true,true,3.696484,8.680726,0.060296999999999996
9,SWIProlog,false,false,false,3.444011,5.772341,0.279625
9,SWIProlog,true,true,true,3.84811,9.555569,0.079691
9,SWIProlog,false,false,false,3.1040880000000004,6.00542,0.203813
9,SWIProlog,true,true,true,4.204253,9.342588,0.149157
9,SWIProlog,false,false,false,3.5713049999999997,6.5865339999999994,0.233785
9,SWIProlog,true,true,true,3.5392170000000003,9.522423,0.071934
9,SWIProlog,false,false,false,2.872066,5.404208,0.19958099999999998
9,SWIProlog,true,true,true,4.158412,8.870081,0.098732
9,SWIProlog,false,false,false,4.404892,6.0886379999999996,0.245774
9,SWIProlog,true,true,true,3.615383,9.994224,0.083218
10,SWIProlog,false,false,false,2.940121,5.937365,0.389995
